,0
2137,18
2138,15
2139,29
2140,18
2141,24
2142,24
2143,14
2144,23
2145,24
2146,24
2147,20
2148,17
2149,14
2150,29
2151,29
2152,24
2153,18
2154,18
2155,24
2156,22
2157,23
2158,18
2159,22
2160,23
2161,29
2162,3
2163,16
2164,21
2165,24
2166,18
2167,23
2168,24
2169,24
2170,24
2171,17
2172,10
2173,5
2174,24
2175,14
2176,16
2177,20
2178,18
2179,29
2180,12
2181,10
2182,23
2183,21
2184,18
2185,24
2186,24
2187,23
2188,20
2189,8
2190,23
2191,18
2192,3
2193,18
2194,13
2195,23
2196,23
2197,24
2198,24
2199,27
2200,27
2201,35
2202,11
2203,23
2204,6
2205,30
2206,18
2207,30
2208,21
2209,21
2210,24
2211,18
2212,29
2213,24
2214,23
2215,20
2216,24
2217,28
2218,10
2219,18
2220,8
2221,30
2222,24
2223,18
2224,24
2225,16
2226,16
2227,17
2228,16
2229,24
2230,22
2231,30
2232,24
2233,4
2234,28
2235,8
2236,36
2237,18
2238,20
2239,24
2240,16
2241,23
2242,24
2243,24
2244,3
2245,23
2246,30
2247,16
2248,17
2249,30
2250,25
2251,22
2252,16
2253,24
2254,24
2255,30
2256,22
2257,12
2258,30
2259,25
2260,15
2261,30
2262,18
2263,25
2264,25
2265,23
2266,23
2267,12
2268,12
2269,13
2270,22
2271,22
2272,20
2273,20
2274,24
2275,24
2276,23
2277,23
2278,8
2279,8
2280,5
2281,5
2282,16
2283,16
2284,24
2285,24
2286,24
2287,24
2288,24
2289,24
2290,23
2291,23
2292,23
2293,23
2294,4
2295,4
2296,17
2297,17
2298,15
2299,15
2300,12
2301,12
2302,27
2303,27
2304,27
2305,27
2306,16
2307,16
2308,12
2309,12
2310,24
2311,24
2312,27
2313,27
2314,30
2315,30
